occurance,biden_difference,president_difference_trump,trump_difference,president_difference_biden,,,,,,
1,15,7,106,2,,,,,,
2,12,9,12,14,,,,,,
3,10,7,340,16,,,,,,
4,22,8,15,46,,,,,,
5,685,14,3,22,,,,,,
6,137,11,24,104,,,,,,
7,23,13,22,21,,,,,,
8,225,178,274,33,,,,,,
9,47,175,12,70,,,,,,
10,39,15,2,77,,,,,,
11,6,486,14,23,,,,,,
12,59,116,122,43,,,,,,
13,503,80,3,3,,,,,,
14,156,324,612,19,,,,,,
15,390,86,809,5,,,,,,
16,385,34,23,22,,,,,,
17,118,6,26,155,,,,,,
18,18,13,108,25,,,,,,
19,262,94,24,7,,,,,,
20,,644,577,10,,,,,,
21,,12,24,77,,,,,,
22,,86,205,5,,,,,,
23,,10,178,112,,,,,,
24,,135,237,118,,,,,,
25,,10,,107,,,,,,
26,,149,,173,,,,,,
27,,20,,65,,,,,,
28,,89,,155,,,,,,
29,,27,,30,,,,,,
30,,100,,465,,,,,,
31,,2,,92,,,,,,
32,,142,,39,,,,,,
33,,6,,4,,,,,,
34,,,,1,,,,,,
35,,,,24,,,,,,
36,,,,35,,,,,,
37,,,,143,,,,,,
38,,,,17,,,,,,
39,,,,13,,,,,,
40,,,,8,,,,,,
41,,,,4,,,,,,
42,,,,14,,,,,,
43,,,,6,,,,,,
44,,,,42,,,,,,
45,,,,45,,,,,,
46,,,,18,,,,,,
47,,,,25,,,,,,
48,,,,124,,,,,,
49,,,,3,,,,,,
50,,,,24,,,,,,
51,,,,17,,,,,,
52,,,,161,,,,,,
53,,,,9,,,,,,
54,,,,232,,,,,,
55,,,,27,,,,,,
56,,,,77,,,,,,
57,,,,42,,,,,,
58,,,,237,,,,,,
59,,,,27,,,,,,
60,,,,95,,,,,,
61,,,,5,,,,,,
62,,,,38,,,,,,
63,,,,18,,,,,,
64,,,,28,,,,,,
65,,,,4,,,,,,
66,,,,28,,,,,,
67,,,,5,,,,,,
68,,,,14,,,,,,
69,,,,2,,,,,,
70,,,,94,,,,,,
,,,,,,,,,,
,,,,,,,,,,
