volley,number_of_hits
1,3
2,6
3,0
4,1
5,0
6,0
7,6
8,0
9,1
10,1
11,1
12,6
13,2
14,4
15,6
16,3
17,4
18,0
19,7
20,2
21,1
22,1
23,6
24,6
25,5
26,2
27,0
28,4
29,2
30,0
31,4
32,2
33,1
34,0
35,3
36,0
37,2
38,1
39,2
40,0
41,5
42,9
43,9
44,8
45,0
46,1
47,1
48,2
49,0
50,1
51,1
52,5
53,2
54,1
55,1
56,4
57,4
58,1
59,5
60,0
61,1
62,4
63,4
64,4
65,1
66,0
67,3
68,1
69,0
70,2
71,3
72,2
73,3
74,4
75,1
76,0
77,6
78,0
79,1
80,0
81,1
82,0
83,8
84,1
85,1
86,1
87,1
88,4
89,0
90,4
91,2
92,0
93,3
94,2
95,0
96,1
97,4
98,1
99,10
100,12
101,3
102,1
103,0
104,2
105,10
106,3
107,0
108,0
109,1
110,1
111,3
112,25
113,0
114,0
115,1
116,2
117,0
118,0
119,1
120,5
121,6
122,0
123,3
124,0
125,5
126,0
127,0
128,8
129,4
130,4
131,1
132,3
133,4
134,0
135,0
136,18
137,1
138,1
139,2
140,0
141,3
142,2
143,0
144,1
145,2
146,0
147,1
148,7
149,2
150,4
151,3
152,0
153,3
154,3
155,6
156,4
157,0
158,1
159,9
160,3
161,3
162,1
163,3
164,2
165,0
166,1
167,2
168,0
169,4
170,0
171,1
172,0
173,2
174,4
175,3
176,0
177,3
178,3
179,4
180,1
181,0
182,0
183,1
184,2
185,2
186,4
187,0
188,4
189,0
190,0
191,1
192,5
193,3
194,6
195,2
196,1
197,1
198,0
199,1
200,3
201,0
202,0
203,1
204,4
205,0
206,11
207,3
208,2
209,0
210,3
211,0
212,2
213,3
214,1
215,5
216,4
